iteration,loss
3850000,0.002633
3851000,0.002635
3852000,0.002563
3853000,0.002621
3854000,0.002557
3855000,0.002675
3856000,0.002536
3857000,0.002623
3858000,0.002593
3859000,0.002594
3860000,0.002623
3861000,0.002607
3862000,0.002578
3863000,0.002645
3864000,0.002619
3865000,0.002572
3866000,0.002622
3867000,0.002558
3868000,0.002657
3869000,0.002534
3870000,0.002626
3871000,0.002559
3872000,0.002626
3873000,0.002595
3874000,0.002654
3875000,0.002531
3876000,0.002634
3877000,0.002640
3878000,0.002548
3879000,0.002645
3880000,0.002546
3881000,0.002667
3882000,0.002536
3883000,0.002610
3884000,0.002608
3885000,0.002591
3886000,0.002615
3887000,0.002634
3888000,0.002516
3889000,0.002667
3890000,0.002606
3891000,0.002577
3892000,0.002601
3893000,0.002582
3894000,0.002614
3895000,0.002521
3896000,0.002646
3897000,0.002542
3898000,0.002606
3899000,0.002604
3900000,0.002622
3901000,0.002524
3902000,0.002630
3903000,0.002641
3904000,0.002566
3905000,0.002595
3906000,0.002581
3907000,0.002605
3908000,0.002558
3909000,0.002633
3910000,0.002555
3911000,0.002589
3912000,0.002597
3913000,0.002654
3914000,0.002533
3915000,0.002648
3916000,0.002608
3917000,0.002559
3918000,0.002611
3919000,0.002608
3920000,0.002622
3921000,0.002525
3922000,0.002610
3923000,0.002557
3924000,0.002609
3925000,0.002621
3926000,0.002637
3927000,0.002511
3928000,0.002641
3929000,0.002627
3930000,0.002596
3931000,0.002612
3932000,0.002588
3933000,0.002609
3934000,0.002558
3935000,0.002645
3936000,0.002555
3937000,0.002585
3938000,0.002602
3939000,0.002659
3940000,0.002530
3941000,0.002637
3942000,0.002601
3943000,0.002584
3944000,0.002600
3945000,0.002613
3946000,0.002603
3947000,0.002541
3948000,0.002629
3949000,0.002542
3950000,0.002614
3951000,0.002600
3952000,0.002621
3953000,0.002535
3954000,0.002621
3955000,0.002622
3956000,0.002586
3957000,0.002574
3958000,0.002607
3959000,0.002586
3960000,0.002552
3961000,0.002642
3962000,0.002539
3963000,0.002604
3964000,0.002587
3965000,0.002653
3966000,0.002532
3967000,0.002627
3968000,0.002620
3969000,0.002566
3970000,0.002627
3971000,0.002593
3972000,0.002593
3973000,0.002552
3974000,0.002627
3975000,0.002582
3976000,0.002598
3977000,0.002599
3978000,0.002630
3979000,0.002532
3980000,0.002653
3981000,0.002620
3982000,0.002580
3983000,0.002582
3984000,0.002608
3985000,0.002590
3986000,0.002544
3987000,0.002648
3988000,0.002541
3989000,0.002621
3990000,0.002579
3991000,0.002627
3992000,0.002569
3993000,0.002604
3994000,0.002659
3995000,0.002553
3996000,0.002581
3997000,0.002613
3998000,0.002581
3999000,0.002566
