iteration,loss
0,0.090047
1000,0.001191
2000,0.000798
3000,0.000641
4000,0.000586
5000,0.000554
6000,0.000539
7000,0.000511
8000,0.000517
9000,0.000498
10000,0.000497
11000,0.000488
12000,0.000492
13000,0.000476
14000,0.000491
15000,0.000473
16000,0.000479
17000,0.000468
18000,0.000476
19000,0.000469
20000,0.000463
21000,0.000472
22000,0.000462
23000,0.000467
24000,0.000457
25000,0.000470
26000,0.000452
27000,0.000470
28000,0.000454
29000,0.000462
30000,0.000451
31000,0.000461
32000,0.000455
33000,0.000451
34000,0.000457
35000,0.000450
36000,0.000457
37000,0.000447
38000,0.000459
39000,0.000442
40000,0.000459
41000,0.000446
42000,0.000454
43000,0.000442
44000,0.000454
45000,0.000446
46000,0.000445
47000,0.000450
48000,0.000442
49000,0.000450
50000,0.000441
51000,0.000452
52000,0.000437
53000,0.000453
54000,0.000439
55000,0.000449
56000,0.000437
57000,0.000448
58000,0.000439
59000,0.000439
60000,0.000445
61000,0.000437
62000,0.000446
63000,0.000436
64000,0.000447
65000,0.000433
66000,0.000447
67000,0.000435
68000,0.000446
69000,0.000433
70000,0.000443
71000,0.000437
72000,0.000436
73000,0.000441
74000,0.000433
75000,0.000443
76000,0.000433
77000,0.000445
78000,0.000430
79000,0.000445
80000,0.000432
81000,0.000444
82000,0.000430
83000,0.000440
84000,0.000436
85000,0.000433
86000,0.000439
87000,0.000431
88000,0.000441
89000,0.000432
90000,0.000443
91000,0.000427
92000,0.000444
93000,0.000430
94000,0.000444
95000,0.000428
96000,0.000438
97000,0.000435
98000,0.000433
99000,0.000438
