iteration,loss
0,0.212394
1000,0.001555
2000,0.000977
3000,0.000801
4000,0.000755
5000,0.000657
6000,0.000680
7000,0.000621
8000,0.000640
9000,0.000610
10000,0.000613
11000,0.000605
12000,0.000596
13000,0.000608
14000,0.000587
15000,0.000600
16000,0.000569
17000,0.000607
18000,0.000559
19000,0.000599
20000,0.000563
21000,0.000587
22000,0.000573
23000,0.000580
24000,0.000577
25000,0.000568
26000,0.000580
27000,0.000564
28000,0.000587
29000,0.000553
30000,0.000590
31000,0.000544
32000,0.000585
33000,0.000555
34000,0.000578
35000,0.000560
36000,0.000567
37000,0.000570
38000,0.000561
39000,0.000570
40000,0.000558
41000,0.000577
42000,0.000547
43000,0.000586
44000,0.000539
45000,0.000578
46000,0.000548
47000,0.000573
48000,0.000558
49000,0.000563
50000,0.000566
51000,0.000557
52000,0.000565
53000,0.000557
54000,0.000574
55000,0.000543
56000,0.000581
57000,0.000536
58000,0.000576
59000,0.000546
60000,0.000570
61000,0.000555
62000,0.000561
63000,0.000564
64000,0.000556
65000,0.000562
66000,0.000555
67000,0.000572
68000,0.000542
69000,0.000578
70000,0.000534
71000,0.000573
72000,0.000545
73000,0.000568
74000,0.000553
75000,0.000559
76000,0.000563
77000,0.000554
78000,0.000562
79000,0.000554
80000,0.000570
81000,0.000542
82000,0.000578
83000,0.000534
84000,0.000572
85000,0.000544
86000,0.000568
87000,0.000553
88000,0.000558
89000,0.000562
90000,0.000555
91000,0.000560
92000,0.000555
93000,0.000569
94000,0.000542
95000,0.000577
96000,0.000533
97000,0.000572
98000,0.000545
99000,0.000567
