iteration,loss
0,0.244984
1000,0.001395
2000,0.000912
3000,0.000751
4000,0.000701
5000,0.000656
6000,0.000639
7000,0.000621
8000,0.000606
9000,0.000612
10000,0.000589
11000,0.000597
12000,0.000581
13000,0.000594
14000,0.000578
15000,0.000574
16000,0.000569
17000,0.000576
18000,0.000571
19000,0.000570
20000,0.000567
21000,0.000561
22000,0.000572
23000,0.000556
24000,0.000567
25000,0.000555
26000,0.000568
27000,0.000555
28000,0.000554
29000,0.000550
30000,0.000559
31000,0.000554
32000,0.000555
33000,0.000551
34000,0.000549
35000,0.000556
36000,0.000546
37000,0.000555
38000,0.000545
39000,0.000555
40000,0.000543
41000,0.000545
42000,0.000540
43000,0.000549
44000,0.000545
45000,0.000547
46000,0.000542
47000,0.000542
48000,0.000547
49000,0.000538
50000,0.000550
51000,0.000536
52000,0.000549
53000,0.000535
54000,0.000538
55000,0.000533
56000,0.000544
57000,0.000538
58000,0.000541
59000,0.000534
60000,0.000537
61000,0.000541
62000,0.000533
63000,0.000545
64000,0.000530
65000,0.000546
66000,0.000531
67000,0.000533
68000,0.000528
69000,0.000539
70000,0.000534
71000,0.000538
72000,0.000529
73000,0.000535
74000,0.000537
75000,0.000530
76000,0.000541
77000,0.000527
78000,0.000543
79000,0.000529
80000,0.000532
81000,0.000526
82000,0.000535
83000,0.000533
84000,0.000536
85000,0.000527
86000,0.000534
87000,0.000534
88000,0.000528
89000,0.000538
90000,0.000525
91000,0.000541
92000,0.000529
93000,0.000530
94000,0.000525
95000,0.000534
96000,0.000531
97000,0.000534
98000,0.000525
99000,0.000533
