iteration,loss
0,0.164639
1000,0.001546
2000,0.000907
3000,0.000789
4000,0.000716
5000,0.000670
6000,0.000655
7000,0.000640
8000,0.000619
9000,0.000624
10000,0.000610
11000,0.000604
12000,0.000611
13000,0.000592
14000,0.000604
15000,0.000597
16000,0.000589
17000,0.000594
18000,0.000590
19000,0.000588
20000,0.000592
21000,0.000572
22000,0.000595
23000,0.000575
24000,0.000583
25000,0.000584
26000,0.000573
27000,0.000584
28000,0.000581
29000,0.000574
30000,0.000579
31000,0.000577
32000,0.000575
33000,0.000583
34000,0.000562
35000,0.000585
36000,0.000563
37000,0.000576
38000,0.000576
39000,0.000567
40000,0.000576
41000,0.000573
42000,0.000568
43000,0.000574
44000,0.000570
45000,0.000569
46000,0.000578
47000,0.000555
48000,0.000581
49000,0.000559
50000,0.000571
51000,0.000571
52000,0.000563
53000,0.000574
54000,0.000569
55000,0.000564
56000,0.000572
57000,0.000566
58000,0.000567
59000,0.000576
60000,0.000552
61000,0.000578
62000,0.000556
63000,0.000569
64000,0.000567
65000,0.000561
66000,0.000571
67000,0.000567
68000,0.000563
69000,0.000570
70000,0.000563
71000,0.000567
72000,0.000573
73000,0.000552
74000,0.000577
75000,0.000555
76000,0.000567
77000,0.000565
78000,0.000560
79000,0.000570
80000,0.000565
81000,0.000561
82000,0.000568
83000,0.000564
84000,0.000563
85000,0.000571
86000,0.000551
87000,0.000575
88000,0.000556
89000,0.000566
90000,0.000564
91000,0.000559
92000,0.000569
93000,0.000565
94000,0.000561
95000,0.000567
96000,0.000563
97000,0.000563
98000,0.000569
99000,0.000552
